ds,name,civ,labor,emp,unemp
1976-07-01,Colorado,1859000,1234684,1163541,71143
1976-07-01,Connecticut,2261000,1460635,1327624,133011
1976-07-01,Delaware,421000,263315,240211,23104
1976-07-01,Florida,6514000,3602782,3275577,327205
1976-07-01,Georgia,3559000,2273239,2092242,180997
1976-07-01,Hawaii,593000,410102,373058,37044
1976-07-01,Idaho,590000,373107,352181,20926
1976-07-01,Illinois,8183000,5156594,4816599,339995
1976-07-01,Indiana,3814000,2445243,2306108,139135
1976-07-01,Iowa,2084000,1337276,1284353,52923
1976-07-01,Kansas,1649000,1079247,1035054,44193
1976-07-01,Kentucky,2490000,1494780,1413722,81058
1976-07-01,Louisiana,2712000,1534267,1430273,103994
1976-07-01,Maine,774000,477095,436790,40305
1976-07-01,Maryland,2979000,1915202,1789408,125794
1976-07-01,Massachusetts,4213000,2730674,2469470,261204
1976-07-01,Michigan,6454000,3996327,3627749,368578
1976-07-01,Minnesota,2815000,1853413,1749799,103614
1976-07-01,Mississippi,1659000,970764,910473,60291
1976-07-01,Missouri,3489000,2128622,1996806,131816
1976-07-01,Montana,537000,333822,314232,19590
1976-07-01,Nebraska,1102000,717323,695483,21840
1976-07-01,Nevada,464000,328735,300492,28243
1976-07-01,Ohio,7731000,4750580,4392879,357701
1976-07-01,Oklahoma,2023000,1191650,1125315,66335
1976-07-01,Oregon,1740000,1094956,995571,99385
1976-07-01,Pennsylvania,8810000,5138310,4729977,408333
1976-07-01,Tennessee,3116000,1860137,1748920,111217
1976-07-01,Texas,8974000,5732915,5395557,337358
1976-07-01,Utah,837000,527210,498273,28937
1976-07-01,Vermont,343000,218925,200721,18204
1976-07-01,Virginia,3583000,2341316,2205025,136291
1976-07-01,Washington,2636000,1617348,1475933,141415
1976-07-01,Wisconsin,3267000,2147574,2033622,113952
1976-07-01,Wyoming,276000,181523,174732,6791
1976-08-01,Alabama,2641000,1505121,1404636,100485
1976-08-01,Alaska,243000,166416,153715,12701
1976-08-01,Arizona,1658000,987541,892485,95056
1976-08-01,Arkansas,1548000,894755,835190,59565
1976-08-01,California,15879000,9943383,9037097,906286
1976-08-01,Colorado,1865000,1239866,1166313,73553
1976-08-01,Connecticut,2263000,1461961,1330847,131114
1976-08-01,Delaware,422000,263947,240436,23511
1976-08-01,Florida,6532000,3607644,3280710,326934
1976-08-01,Georgia,3567000,2280846,2099313,181533
1976-08-01,Hawaii,594000,410357,373926,36431
1976-08-01,Idaho,592000,375109,354023,21086
1976-08-01,Illinois,8192000,5158806,4818730,340076
1976-08-01,Indiana,3819000,2450242,2311280,138962
1976-08-01,Iowa,2086000,1339651,1287034,52617
1976-08-01,Kansas,1651000,1082510,1038432,44078
1976-08-01,Kentucky,2494000,1495671,1415395,80276
1976-08-01,Louisiana,2718000,1538687,1433303,105384
1976-08-01,Maine,775000,477210,436562,40648
1976-08-01,Maryland,2984000,1919926,1792801,127125
1976-08-01,Massachusetts,4217000,2736966,2480126,256840
1976-08-01,Michigan,6462000,4001428,3637189,364239
1976-08-01,Minnesota,2819000,1860447,1755105,105342
1976-08-01,Mississippi,1662000,972756,911266,61490
1976-08-01,Missouri,3493000,2137004,2002746,134258
1976-08-01,Montana,538000,334898,315090,19808
1976-08-01,Nebraska,1103000,719393,697327,22066
1976-08-01,Nevada,466000,330696,302339,28357
1976-08-01,Ohio,7738000,4748526,4393870,354656
1976-08-01,Oklahoma,2027000,1193335,1127599,65736
1976-08-01,Oregon,1745000,1102501,1001472,101029
1976-08-01,Pennsylvania,8816000,5141829,4736852,404977
1976-08-01,Tennessee,3122000,1869160,1755915,113245
1976-08-01,Texas,8997000,5748413,5414486,333927
1976-08-01,Utah,840000,529123,500375,28748
1976-08-01,Vermont,344000,219150,201245,17905
1976-08-01,Virginia,3590000,2345276,2208979,136297
1976-08-01,Washington,2643000,1630362,1485599,144763
1976-08-01,Wisconsin,3272000,2153381,2038648,114733
1976-08-01,Wyoming,277000,182561,175824,6737
1976-09-01,Alabama,2645000,1509649,1407083,102566
1976-09-01,Alaska,243000,167180,153851,13329
1976-09-01,Arizona,1665000,993413,898289,95124
1976-09-01,Arkansas,1552000,896624,837593,59031
1976-09-01,California,15916000,9982133,9062648,919485
1976-09-01,Colorado,1870000,1246348,1170214,76134
1976-09-01,Connecticut,2265000,1461610,1332667,128943
1976-09-01,Delaware,422000,264516,240732,23784
1976-09-01,Florida,6549000,3611679,3284182,327497
1976-09-01,Georgia,3574000,2288373,2105436,182937
1976-09-01,Hawaii,596000,410704,374686,36018
1976-09-01,Idaho,594000,376968,355686,21282
1976-09-01,Illinois,8200000,5159507,4821126,338381
1976-09-01,Indiana,3823000,2452705,2312824,139881
1976-09-01,Iowa,2089000,1342976,1290218,52758
1976-09-01,Kansas,1653000,1085274,1041128,44146
1976-09-01,Kentucky,2499000,1496361,1417188,79173
1976-09-01,Louisiana,2723000,1542014,1436017,105997
1976-09-01,Maine,777000,477240,436065,41175
1976-09-01,Maryland,2988000,1923870,1795726,128144
1976-09-01,Massachusetts,4220000,2740809,2487985,252824
1976-09-01,Michigan,6470000,4005290,3643758,361532
1976-09-01,Minnesota,2823000,1866528,1759271,107257
1976-09-01,Mississippi,1665000,974831,912030,62801
1976-09-01,Missouri,3497000,2144329,2007558,136771
1976-09-01,Montana,539000,336167,316209,19958
1976-09-01,Nebraska,1104000,721181,698890,22291
1976-09-01,Nevada,469000,332594,303985,28609
1976-09-01,Ohio,7745000,4748258,4394507,353751
1976-09-01,Oklahoma,2030000,1195031,1129978,65053
1976-09-01,Oregon,1751000,1109625,1007029,102596
1976-09-01,Pennsylvania,8822000,5145831,4741596,404235
1976-09-01,Tennessee,3129000,1877764,1762321,115443
1976-09-01,Texas,9021000,5760462,5429512,330950
1976-09-01,Utah,842000,530674,501982,28692
1976-09-01,Vermont,345000,219230,201667,17563
1976-09-01,Virginia,3598000,2349043,2213245,135798
1976-09-01,Washington,2650000,1642767,1494839,147928
1976-09-01,Wisconsin,3276000,2157929,2042335,115594
1976-09-01,Wyoming,278000,183449,176702,6747
1976-10-01,Alabama,2650000,1514447,1409795,104652
1976-10-01,Alaska,244000,167790,153868,13922
1976-10-01,Arizona,1671000,999463,904453,95010
1976-10-01,Arkansas,1555000,898793,839863,58930
1976-10-01,California,15954000,10020044,9089492,930552
1976-10-01,Colorado,1876000,1253820,1175284,78536
1976-10-01,Connecticut,2267000,1460490,1333848,126642
1976-10-01,Delaware,423000,265109,241053,24056
1976-10-01,Florida,6567000,3615025,3286676,328349
1976-10-01,Georgia,3582000,2295743,2110772,184971
1976-10-01,Hawaii,597000,411303,375500,35803
1976-10-01,Idaho,595000,378803,357186,21617
1976-10-01,Illinois,8209000,5161172,4826180,334992
1976-10-01,Indiana,3828000,2452800,2311115,141685
1976-10-01,Iowa,2091000,1347410,1294102,53308
1976-10-01,Kansas,1655000,1087745,1043241,44504
1976-10-01,Kentucky,2503000,1497599,1419389,78210
1976-10-01,Louisiana,2729000,1544486,1438250,106236
1976-10-01,Maine,778000,477449,435542,41907
1976-10-01,Maryland,2993000,1927709,1798458,129251
1976-10-01,Massachusetts,4224000,2741315,2492084,249231
1976-10-01,Michigan,6477000,4010071,3649206,360865
1976-10-01,Minnesota,2827000,1871691,1762742,108949
1976-10-01,Mississippi,1667000,976863,912806,64057
1976-10-01,Missouri,3501000,2150638,2011493,139145
1976-10-01,Montana,540000,337644,317497,20147
1976-10-01,Nebraska,1105000,722709,700287,22422
1976-10-01,Nevada,471000,334508,305580,28928
1976-10-01,Ohio,7752000,4750895,4395543,355352
1976-10-01,Oklahoma,2034000,1197318,1132849,64469
1976-10-01,Oregon,1756000,1116143,1012091,104052
1976-10-01,Pennsylvania,8828000,5150807,4743684,407123
1976-10-01,Tennessee,3135000,1885881,1768008,117873
1976-10-01,Texas,9044000,5772866,5442664,330202
1976-10-01,Utah,845000,532107,503267,28840
1976-10-01,Vermont,345000,219366,202110,17256
1976-10-01,Virginia,3605000,2352889,2217915,134974
1976-10-01,Washington,2657000,1653777,1502690,151087
1976-10-01,Wisconsin,3281000,2161240,2044855,116385
1976-10-01,Wyoming,279000,184315,177487,6828
1976-11-01,Alabama,2654000,1519811,1412921,106890
1976-11-01,Alaska,244000,168258,153794,14464
1976-11-01,Arizona,1678000,1005364,910597,94767
1976-11-01,Arkansas,1558000,901341,842135,59206
1976-11-01,California,15991000,10057937,9120389,937548
1976-11-01,Colorado,1881000,1261349,1180591,80758
1976-11-01,Connecticut,2270000,1459621,1335330,124291
1976-11-01,Delaware,424000,265836,241509,24327
1976-11-01,Florida,6584000,3618451,3289366,329085
1976-11-01,Georgia,3590000,2302597,2115728,186869
1976-11-01,Hawaii,599000,412145,376474,35671
1976-11-01,Idaho,597000,380682,358606,22076
1976-11-01,Illinois,8218000,5166453,4835787,330666
1976-11-01,Indiana,3833000,2451136,2307957,143179
1976-11-01,Iowa,2093000,1352912,1298854,54058
1976-11-01,Kansas,1658000,1090148,1045111,45037
1976-11-01,Kentucky,2507000,1500135,1422507,77628
1976-11-01,Louisiana,2734000,1546793,1440358,106435
1976-11-01,Maine,780000,477981,435208,42773
1976-11-01,Maryland,2997000,1931829,1801646,130183
1976-11-01,Massachusetts,4227000,2738644,2492649,245995
1976-11-01,Michigan,6485000,4017008,3655726,361282
1976-11-01,Minnesota,2831000,1876237,1766050,110187
1976-11-01,Mississippi,1670000,978822,913557,65265
1976-11-01,Missouri,3505000,2155782,2015230,140552
1976-11-01,Montana,542000,339163,318803,20360
1976-11-01,Nebraska,1106000,724199,701693,22506
1976-11-01,Nevada,474000,336491,307303,29188
1976-11-01,Ohio,7759000,4756815,4399284,357531
1976-11-01,Oklahoma,2038000,1200617,1136665,63952
1976-11-01,Oregon,1761000,1121842,1016783,105059
1976-11-01,Pennsylvania,8835000,5157677,4744837,412840
1976-11-01,Tennessee,3142000,1894081,1773459,120622
